F_id,hamming distance
f_63,4
f_189,8
f_77,15
f_162,20
f_176,4
f_88,9
f_228,10
f_214,12
f_200,6
f_201,11
f_215,20
f_229,11
f_177,8
f_89,11
f_163,17
f_188,4
f_76,15
f_62,8
f_74,14
f_60,8
f_48,20
f_149,9
f_175,6
f_161,6
f_203,18
f_217,8
f_216,8
f_202,5
f_160,7
f_174,10
f_148,6
f_49,5
f_61,10
f_75,15
f_59,8
f_71,10
f_65,22
f_170,17
f_164,9
f_158,13
f_206,8
f_212,19
f_213,14
f_207,15
f_159,6
f_165,6
f_171,7
f_64,10
f_70,9
f_58,13
f_8,10
f_198,5
f_66,17
f_72,4
f_167,8
f_99,4
f_173,12
f_211,9
f_205,6
f_239,9
f_238,8
f_204,12
f_210,6
f_172,8
f_166,7
f_98,13
f_73,11
f_199,7
f_67,12
f_9,5
f_14,10
f_28,4
f_129,22
f_101,10
f_115,12
f_303,11
f_317,16
f_288,7
f_277,9
f_263,8
f_262,7
f_276,22
f_289,8
f_316,14
f_302,12
f_114,13
f_100,15
f_128,16
f_29,8
f_15,13
f_17,14
f_116,11
f_102,0
f_314,15
f_300,17
f_248,11
f_260,15
f_274,10
f_275,2
f_261,15
f_249,11
f_301,12
f_315,15
f_103,10
f_117,11
f_16,13
f_12,4
f_113,8
f_107,6
f_311,12
f_305,9
f_265,13
f_271,5
f_259,11
f_258,20
f_270,6
f_264,17
f_304,14
f_310,12
f_106,4
f_112,12
f_13,9
f_39,9
f_11,8
f_104,3
f_110,17
f_138,7
f_306,10
f_312,10
f_299,21
f_272,6
f_266,12
f_267,15
f_273,10
f_298,18
f_313,3
f_307,7
f_139,2
f_111,12
f_105,4
f_10,9
f_38,12
f_21,17
f_35,8
f_108,7
f_120,12
f_134,8
f_295,6
f_281,20
f_256,5
f_242,18
f_243,12
f_257,19
f_280,8
f_294,9
f_135,12
f_121,7
f_109,3
f_34,11
f_20,10
f_36,16
f_22,4
f_137,10
f_123,21
f_309,26
f_282,10
f_296,12
f_269,4
f_241,19
f_255,9
f_254,19
f_240,6
f_268,17
f_297,7
f_283,10
f_320,6
f_308,7
f_122,8
f_136,1
f_23,17
f_37,11
f_33,13
f_27,12
f_132,11
f_126,14
f_318,9
f_287,23
f_293,16
f_244,13
f_250,12
f_278,11
f_279,19
f_251,9
f_245,10
f_292,2
f_286,22
f_319,10
f_127,2
f_133,5
f_26,8
f_32,6
f_18,19
f_24,11
f_30,5
f_125,8
f_131,6
f_119,3
f_290,9
f_284,12
f_253,16
f_247,13
f_246,11
f_252,15
f_285,8
f_291,11
f_118,8
f_130,4
f_124,10
f_31,7
f_25,9
f_19,9
f_42,0
f_4,8
f_56,15
f_180,6
f_194,18
f_81,11
f_95,13
f_143,2
f_157,12
f_209,11
f_235,10
f_221,5
f_220,5
f_234,12
f_208,13
f_156,9
f_142,8
f_94,17
f_80,6
f_195,6
f_181,20
f_5,8
f_57,10
f_43,3
f_55,17
f_7,2
f_41,8
f_69,9
f_197,9
f_183,6
f_96,12
f_168,9
f_82,2
f_154,7
f_140,7
f_222,0
f_236,9
f_237,12
f_223,6
f_141,7
f_155,9
f_83,18
f_97,3
f_169,7
f_182,10
f_68,14
f_196,7
f_40,5
f_54,17
f_6,19
f_192,15
f_78,15
f_186,15
f_2,8
f_50,6
f_44,13
f_151,10
f_145,3
f_93,17
f_87,21
f_179,16
f_227,15
f_233,1
f_232,17
f_226,15
f_86,9
f_178,26
f_92,5
f_144,11
f_150,9
f_45,14
f_3,13
f_51,7
f_79,7
f_187,7
f_193,12
f_185,4
f_191,2
f_47,12
f_53,10
f_1,7
f_146,18
f_152,7
f_84,15
f_90,9
f_230,8
f_224,9
f_218,5
f_219,6
f_225,5
f_231,11
f_91,6
f_85,18
f_153,10
f_147,8
f_52,5
f_46,15
f_190,5
f_184,7
